Explorer Algorithm,Coverage,Time Taken to Explore,ROS Time Scale Factor,Start/End Validated by Search Grid
1,0.7830666666666667,1411.1986541748047,2,N/A
0,0.7808,1892.5981950759888,2,N/A
0,0.7801333333333333,1583.5060405731201,1,N/A
1,0.7810666666666667,1506.6057472229004,1,N/A
